,FW_flat,SC_variable,max_ramp,solar_cf
t507,130.5,82.2,813.22,0
t508,130.1,83.1,826.2,0
t509,130.6,85.4,838.66,0
t510,130.9,87.2,862.01,0
t511,131.1,88.7,881.61,0
t512,131.5,91.3,892.83,0
t513,131.5,93.9,920.11,0.37
t514,131.4,95.7,937.68,0.37
t515,131.1,98.3,955.14,0.37
t516,131.9,100.3,977.18,0.37
t517,132.6,102.7,998.42,0.07
t518,132.9,104.9,1017.09,0.07
t519,132.7,107.5,1041.52,0.07
t520,132.4,109.4,1058.71,0.07
t521,132.6,111.7,1077.02,0.39
t522,132.8,114.2,1096.37,0.39
t523,132.4,116.1,1111.77,0.39
t524,132,118.4,1132.91,0.39
t525,131.7,120.4,1150.11,0.65
t526,131.8,122.4,1159.31,0.65
t527,131.6,124.7,1179.4,0.65
t528,132.1,126.4,1195.87,0.65
t529,132.3,127.6,1203.48,0.62
t530,132.6,129.8,1220.91,0.62
t531,133,131.5,1232.39,0.62
t532,133.1,132.4,1242.39,0.62
t533,133.5,134.2,1256.63,0.19
t534,134,135.3,1266.3,0.19
t535,134.5,136.5,1277.6,0.19
t536,134.7,137.3,1291.83,0.19
t537,135.2,138,1294.29,0.14
t538,135.8,139.1,1302.85,0.14
t539,136.3,140.1,1302.23,0.14
t540,136.7,140.9,1301.88,0.14
t541,137,141.7,1294.12,0.12
t542,137.2,142.5,1284.14,0.12
t543,137.4,143.2,1270.74,0.12
t544,137,143.6,1258.97,0.12
t545,137,143.8,1244.05,0.14
t546,137.3,144,1235.7,0.14
t547,137.4,143.9,1228.97,0.14
t548,137.3,143.9,1218.44,0.14
t549,136.7,144,1212.65,0
t550,136.3,143,1202.97,0
t551,136.1,142.8,1196.31,0
t552,135.5,142.4,1187.47,0
t553,134.9,141,1179.89,0
t554,134.5,140,1163.83,0
t555,133.8,138.4,1152.96,0
t556,133,136.5,1140.9,0
t557,133,134.9,1124.31,0
t558,133.9,133.3,1112.93,0
t559,134.4,132.8,1112.75,0
t560,134.5,132,1114.82,0
t561,134.5,129.9,1109.11,0
t562,134.3,128.4,1099.26,0
t563,133.9,126.6,1089.87,0
t564,133.5,124.4,1070.67,0
t565,132.9,122.4,1058.39,0
t566,132,120.2,1042.73,0
t567,131.2,118.3,1024.79,0
t568,130.6,116.2,1008.76,0
t569,130.1,113.6,986.95,0
t570,129.2,111.5,966.11,0
t571,128.1,109.1,950.31,0
t572,127.5,107.5,930.74,0
t573,126.8,105.2,911.96,0
t574,126.3,103.5,894.75,0
t575,125.6,101.6,878.9,0
t576,124.8,100,865.32,0
t577,123.1,98.2,853.47,0
t578,122.6,96.2,837.86,0
t579,123,94.8,828.25,0
t580,122.2,93.4,816.05,0
t581,121.3,91.3,808.75,0
t582,120.2,90.6,799.78,0
t583,121.2,89.6,794.93,0
t584,120.2,87.3,790.59,0
t585,121,87,785.83,0
t586,119.5,86,778.44,0
t587,119.1,84.7,776.76,0
t588,118.9,84.4,775.08,0
t589,119.5,83.7,766.76,0
t590,119.3,82.5,768.27,0
t591,119.1,82.2,766.68,0
t592,119.8,81.8,765.97,0
t593,120.3,81.6,768.79,0
t594,121,81.4,767.3,0
t595,121.4,81.4,769.75,0
t596,121.4,81.6,771.44,0
t597,122.2,81.9,769.09,0
t598,123,81.7,767.93,0
t599,123.2,81.9,772.25,0
t600,123.6,81.8,774.08,0
t601,124.1,81.3,775.63,0
t602,124.1,82.2,785.39,0
t603,123.9,83.2,795.86,0
t604,124,83.7,806.02,0
t605,124.4,85.9,825.85,0
